coords,x,y,likelihood,x,y,likelihood,,,,
0,496.3461609,7.272319794,0.027900428,496.6765442,7.069238663,0.016325891,279,203,283,462
1,496.4571228,7.712861061,0.078550786,497.402771,7.370311737,0.044431746,,,,
2,496.4571228,7.878512383,0.015552074,497.402771,7.416456223,0.009402126,,,,
3,496.397583,7.878512383,0.034098178,497.1034546,7.416456223,0.021747291,,,,
4,496.4571228,7.878512383,0.040056914,497.1034546,7.416456223,0.02797085,,,,
5,496.397583,8.133916855,0.051663309,497.1034546,7.626961708,0.032024086,,,,
6,496.397583,8.133916855,0.048928887,497.1034546,7.626961708,0.034983903,,,,
7,496.4637451,7.654687881,0.042465925,497.540741,7.412190437,0.031879157,,,,
8,496.4637451,7.72284317,0.016993552,497.540741,7.278380394,0.011242896,,,,
9,496.3791504,7.72284317,0.014923006,497.540741,7.278380394,0.008695602,,,,
10,496.3791504,7.72284317,0.021724463,497.3920593,7.278380394,0.014714509,,,,
11,496.3156128,7.745691776,0.030535966,497.3390808,7.336102486,0.020180434,,,,
12,496.3156128,7.745691776,0.026438177,497.3390808,7.336102486,0.017616153,,,,
13,496.3156128,7.745691776,0.034067184,497.3390808,7.336102486,0.023957044,,,,
14,496.4179688,7.677463531,0.02077961,497.4536133,7.318328857,0.014003187,,,,
15,496.4688721,7.383617878,0.02202183,497.4536133,7.070757866,0.013460904,,,,
16,496.4688721,7.383617878,0.017967761,497.4536133,7.070757866,0.010741234,,,,
17,496.5032654,7.383617878,0.019455403,497.4917603,7.070757866,0.012525618,,,,
18,496.4688721,7.54374218,0.03129524,497.4110107,7.204089165,0.0203771,,,,
19,496.4688721,7.54374218,0.01589784,497.4110107,7.204089165,0.010013789,,,,
20,496.532196,7.54374218,0.054062217,497.4512329,7.204089165,0.037057638,,,,
21,496.5627441,7.352131844,0.024985999,497.531189,7.062676907,0.015068531,,,,
22,496.5627441,7.197946548,0.013898224,497.531189,6.975663185,0.007938892,,,,
23,496.7528076,6.736742973,0.010076106,497.6590576,6.704817772,0.005529523,,,,
24,496.7528076,6.736742973,0.008180887,497.6590576,6.704817772,0.004404455,,,,
25,496.932251,6.736742973,0.015161276,497.7282104,6.704817772,0.008541316,,,,
26,496.932251,6.754279613,0.041790515,497.7282104,6.717965126,0.028745294,,,,
27,496.7701111,7.525157928,0.008944839,497.6454163,7.158339024,0.004840404,,,,
28,496.6031189,7.604991913,0.018214524,497.4646606,7.233643532,0.012001097,,,,
29,496.6031189,7.604991913,0.021807909,497.4646606,7.233643532,0.013610244,,,,
30,496.5045471,8.112981796,0.046080172,497.3825989,7.58471632,0.032559335,,,,
31,496.5045471,12.7199955,0.041684866,497.3825989,7.669341087,0.029578745,,,,
32,496.5406494,12.7199955,0.109107852,497.3825989,7.669341087,0.076098025,,,,
33,496.435791,8.112981796,0.064923763,497.3825989,7.58471632,0.041075379,,,,
34,496.5406494,7.74650383,0.014438063,497.5760193,7.315440178,0.008441865,,,,
35,496.641571,7.343103409,0.034012109,497.5760193,7.053948402,0.022485644,,,,
36,496.7037048,7.047372818,0.018135428,497.5760193,6.886402607,0.010939062,,,,
37,496.641571,7.343103409,0.013562381,497.5046082,7.053948402,0.007575661,,,,
38,496.641571,7.343103409,0.006727487,497.5046082,7.053948402,0.003404349,,,,
39,496.5671387,7.550024033,0.022005737,497.3961182,7.262223244,0.014365137,,,,
40,496.4700317,7.550024033,0.037303954,497.3961182,7.262223244,0.024389267,,,,
41,496.4345703,7.770007133,0.033100486,497.3961182,7.386171818,0.021635175,,,,
42,496.4345703,7.770007133,0.017983973,497.4953918,7.386171818,0.011006027,,,,
43,496.4700317,7.282808781,0.088981956,497.6551208,7.023643494,0.059909075,,,,
44,496.8834534,7.190576553,0.018276274,497.7457886,6.938652039,0.010742754,,,,
45,496.8834534,6.981551647,0.010745972,497.7457886,6.827751637,0.005571634,,,,
46,496.8834534,6.981551647,0.005953699,497.7457886,6.827751637,0.00280413,,,,
47,496.7093811,6.981551647,0.012302786,497.5592041,6.827751637,0.007377684,,,,
48,496.7093811,6.981551647,0.013570875,497.5592041,6.827751637,0.008129627,,,,
49,496.7093811,7.112326622,0.025899529,497.5592041,6.865868092,0.015301973,,,,
50,496.7093811,7.141853333,0.005070746,497.5592041,6.908156395,0.002295107,,,,
51,496.7102051,7.112326622,0.014249086,497.59375,6.865868092,0.008467913,,,,
52,496.8134766,7.112326622,0.024420679,497.6071472,6.908156395,0.01615122,,,,
53,496.7102051,7.112326622,0.006129682,497.6071472,6.908156395,0.003100634,,,,
54,496.8134766,6.950675964,0.015093029,497.6231689,6.867580891,0.009242862,,,,
55,497.0831909,6.655529022,0.010273695,497.7854919,6.628751755,0.005891651,,,,
56,496.9114685,6.936987877,0.011670828,497.7669067,6.848000526,0.006302863,,,,
57,497.0831909,6.655529022,0.008449376,497.7854919,6.628751755,0.004139245,,,,
58,497.0831909,6.211058617,0.011704832,497.7854919,6.3450284,0.006616294,,,,
59,496.9114685,6.211058617,0.006010562,497.7669067,6.3450284,0.002927989,,,,
60,496.7383118,6.936987877,0.007621229,497.6281128,6.848000526,0.003779531,,,,
61,496.7380066,6.989300728,0.018337697,497.6008301,6.876885414,0.011876255,,,,
62,496.593689,7.231957912,0.012770355,497.598175,7.014045238,0.007222801,,,,
63,496.593689,7.249286175,0.016495466,497.5179443,7.014045238,0.009367853,,,,
64,496.593689,7.249286175,0.016638458,497.5179443,7.014045238,0.01056692,,,,
65,496.51474,7.399542809,0.020033538,497.4205627,7.069478035,0.013115078,,,,
66,496.51474,7.399542809,0.028255254,497.4205627,7.069478035,0.019750923,,,,
67,496.6347961,7.288841248,0.021179259,497.4205627,7.036121368,0.013982058,,,,
68,496.8243103,7.288841248,0.014787853,497.6226196,7.036121368,0.009084255,,,,
69,496.8243103,7.231929779,0.012940437,497.6226196,7.036121368,0.007614046,,,,
70,496.8407288,7.208063126,0.006950259,497.6625671,7.027184963,0.003344536,,,,
71,496.9155273,6.928011894,0.012942672,497.767334,6.808146477,0.008048922,,,,
72,496.9155273,6.928011894,0.012688488,497.6625671,6.808146477,0.006883085,,,,
73,496.948822,6.928011894,0.008926928,497.7831116,6.808146477,0.004639536,,,,
74,496.948822,6.928011894,0.013614535,497.7831116,6.808146477,0.00840801,,,,
75,497.001709,7.058849335,0.006061167,497.8284302,6.916644096,0.003069669,,,,
76,496.8998108,7.18271637,0.024272591,497.6361694,6.972490788,0.017124504,,,,
77,496.8998108,7.058849335,0.011065692,497.7464905,6.916644096,0.006195873,,,,
78,496.8998108,7.058849335,0.013730019,497.7464905,6.916644096,0.008071333,,,,
79,496.9140015,6.735794067,0.00687331,497.7633362,6.655655384,0.003451496,,,,
80,496.8998108,6.735794067,0.005477577,497.7464905,6.655655384,0.002446681,,,,
81,496.8873291,6.735794067,0.010543555,497.7464905,6.655655384,0.005411565,,,,
82,496.8696899,6.735794067,0.03037557,497.7633362,6.655655384,0.023145795,,,,
83,496.8529663,6.735794067,0.02359125,497.5458374,6.655655384,0.016391069,,,,
84,496.599762,6.640031815,0.003147811,497.5291443,6.623301029,0.001320064,,,,
85,496.8529663,6.185419083,0.005297571,497.5458374,6.320343018,0.002653599,,,,
86,496.8529663,6.185419083,0.009671718,497.6983032,6.320343018,0.005068719,,,,
87,496.8529663,6.185419083,0.002096087,497.6983032,6.320343018,0.000862867,,,,
88,496.6845093,6.640031815,0.01422897,497.6983032,6.623301029,0.008394688,,,,
89,497.1921387,5.890697002,0.003540307,497.7694397,6.091338634,0.001495123,,,,
90,496.6845093,7.074524403,0.016626269,497.7694397,6.894493103,0.010207653,,,,
