coords,x,y,likelihood,x,y,likelihood,,,,
0,794.5454102,420.4394836,0.998715401,783.8091431,422.7709351,0.997772515,284,456,288,718
1,794.7496948,420.4432068,0.998862505,783.913147,422.7709351,0.997517586,,,,
2,794.8497314,420.5950928,0.998957992,783.913147,422.7709351,0.997825503,,,,
3,794.8497314,420.5950928,0.998519957,783.913147,422.7576294,0.997746706,,,,
4,794.8497314,420.5757751,0.998898327,783.9361572,422.7171631,0.997938871,,,,
5,794.8538818,420.5757751,0.998870373,783.9736328,422.4759827,0.997689843,,,,
6,794.8320313,420.5414429,0.999041319,783.9361572,422.7171631,0.997977614,,,,
7,794.8320313,420.5414429,0.999095201,783.9736328,422.7171631,0.998189569,,,,
8,794.9906006,420.1993103,0.999180198,783.9361572,422.6899414,0.99780184,,,,
9,794.9906006,420.1993103,0.999136686,783.7531738,422.6899414,0.998384118,,,,
10,794.8320313,419.9714966,0.999147356,783.7531738,422.8373718,0.998197377,,,,
11,794.9906006,419.5278931,0.99871254,783.7531738,422.7685547,0.997380078,,,,
12,794.9053955,419.5137634,0.998803973,783.7531738,423.0091858,0.997537076,,,,
13,794.9053955,419.4441528,0.99894017,783.8303833,423.1198425,0.997890294,,,,
14,795.1624756,419.37146,0.998505294,783.9544067,423.1198425,0.99716723,,,,
15,795.2301025,419.37146,0.998563528,783.9957275,423.0995483,0.997561812,,,,
16,795.2418213,419.37146,0.998684227,784.272522,423.1650696,0.99803853,,,,
17,795.3352661,419.4345398,0.998711705,784.4199219,423.0995483,0.998154163,,,,
18,795.3540649,419.446167,0.998978555,784.4199219,422.9065247,0.998062968,,,,
19,795.4934082,419.9336243,0.999074101,784.3595581,422.8773804,0.998155415,,,,
20,795.7372437,419.9336243,0.999290109,784.3595581,422.2080383,0.998641014,,,,
21,795.9726563,419.9871826,0.999247074,784.4175415,421.9682922,0.998674154,,,,
22,795.9776001,419.9336243,0.999340773,784.4175415,421.8630676,0.998844266,,,,
23,796.3066406,419.9336243,0.999176383,784.5321045,421.8630676,0.998892307,,,,
24,796.418335,419.9354248,0.998993874,785.1694946,421.8630676,0.99889195,,,,
25,796.4342651,419.9354248,0.999121785,785.1749878,422.2881165,0.998773575,,,,
26,796.4598389,419.9354248,0.998904228,785.6331177,422.2881165,0.998753607,,,,
27,796.4598389,419.9354248,0.999101758,785.6572876,422.2945251,0.998938382,,,,
28,796.8395996,420.0209045,0.998844743,786.1173096,422.3803406,0.998932898,,,,
29,796.9508057,420.0209045,0.998826027,786.3466797,422.4561462,0.999060929,,,,
30,797.2575073,420.0782776,0.998996794,786.4321289,422.868927,0.999001384,,,,
31,797.5719604,420.2941589,0.99893719,786.8011475,422.8689575,0.999075174,,,,
32,797.5719604,420.2941589,0.999017835,787.1773682,422.8689575,0.999154329,,,,
33,797.6375122,420.3881836,0.999033928,787.1990356,422.868927,0.999164581,,,,
34,797.7090454,420.431366,0.999098599,787.4052124,422.415863,0.999279141,,,,
35,797.805481,420.5233765,0.998988271,787.4577026,422.415863,0.999426603,,,,
36,798.309021,420.5233765,0.998984575,787.8741455,422.415863,0.999321938,,,,
37,798.4051514,420.5233765,0.999009848,788.2128296,422.5473022,0.999442577,,,,
38,798.4051514,420.4003906,0.998996556,788.4118042,422.7980957,0.999279022,,,,
39,798.4051514,420.2969055,0.998935282,788.4118042,422.8277893,0.999257565,,,,
40,798.3096924,419.917511,0.998992026,788.5220947,422.8277893,0.999276638,,,,
41,798.3096924,419.917511,0.998882055,788.5321655,422.7980957,0.999251306,,,,
42,798.3096924,419.917511,0.998847723,788.5490112,422.4984436,0.999320865,,,,
43,798.7643433,420.5838928,0.99894309,789.0079346,422.4984436,0.99942112,,,,
44,798.8392334,420.9227905,0.998963892,789.0079346,422.4984436,0.999396503,,,,
45,798.8496094,420.9227905,0.999077082,789.0179443,422.233551,0.999421358,,,,
46,798.9624634,420.9615173,0.998931944,789.1436157,422.241394,0.999407768,,,,
47,798.9624634,420.9615173,0.999115348,789.0079346,422.4581604,0.999429941,,,,
48,798.9749146,421.1612244,0.999007642,789.1526489,422.241394,0.999402404,,,,
49,799.0014648,421.1612244,0.999114394,789.208374,422.2350769,0.999361098,,,,
50,799.1665649,421.1612244,0.999037325,789.220459,422.2350769,0.999426246,,,,
51,799.2127686,421.1141357,0.999208808,789.220459,422.1987915,0.99947381,,,,
52,799.2127686,420.8597412,0.999274254,789.2606812,422.1987915,0.999498129,,,,
53,799.1817017,420.8485107,0.999226332,789.220459,422.1754456,0.999455094,,,,
54,799.1665649,420.5242615,0.999444723,789.220459,422.1754456,0.999492168,,,,
55,799.1624146,420.4486389,0.999319911,789.31427,422.1910706,0.999478757,,,,
56,799.1624146,420.43927,0.999155819,789.4202271,422.2077026,0.999380946,,,,
57,799.149231,420.1071472,0.999269247,789.31427,422.2082214,0.999445438,,,,
58,799.1624146,420.0322266,0.999015808,789.4213867,422.4673767,0.999288857,,,,
59,799.1743774,419.8721313,0.99898535,789.4213867,422.6295166,0.999333739,,,,
60,799.1925049,419.5684204,0.999081016,789.7171631,422.6914063,0.999313593,,,,
61,799.2927856,419.5684204,0.999220014,789.7171631,422.6914063,0.999283075,,,,
62,799.4301758,419.5864563,0.999093652,789.7254639,422.6914063,0.999254584,,,,
63,799.5592651,419.6838379,0.998868942,789.7254639,422.6914063,0.999058425,,,,
64,799.5663452,419.6838379,0.999144197,789.7254639,422.6122131,0.999265134,,,,
65,799.6942749,419.8204956,0.999227285,789.6796875,422.5782166,0.999267936,,,,
66,799.8280029,419.8204956,0.99935925,789.7254639,422.5782166,0.999342501,,,,
67,799.9216309,419.8204956,0.999395967,789.7772827,422.5782166,0.999275744,,,,
68,799.9216309,419.6484985,0.999157548,789.6796875,422.6524658,0.999171615,,,,
69,800.0653687,419.5135803,0.999482393,789.6796875,422.6524658,0.999350786,,,,
70,800.1717529,419.5065308,0.999330878,789.6744385,422.6524658,0.999252975,,,,
71,800.585144,419.5065308,0.999437809,789.5684814,422.5927124,0.999356747,,,,
72,800.5925903,419.4708252,0.999454439,789.5684814,422.4215393,0.9992944,,,,
73,800.6349487,419.5135803,0.999604464,789.5684814,422.4215393,0.999465227,,,,
74,800.9942017,419.4708252,0.999430656,789.5765991,422.4215393,0.999384463,,,,
