coords,x,y,likelihood,x,y,likelihood,,,,
0,666.711853,442.126709,0.995704412,663.3670044,456.2354431,0.997649431,283,433,277,701
1,667.0791016,442.5835876,0.995416582,663.3670044,456.264801,0.997811377,,,,
2,667.0791016,442.6072083,0.996585488,663.4057617,456.4410095,0.998152256,,,,
3,666.711853,442.6072083,0.995859921,663.5244751,456.3443604,0.997653842,,,,
4,666.704895,442.6072083,0.995955706,663.5537109,456.4410095,0.997667551,,,,
5,666.704895,442.7826233,0.996140957,663.6087646,456.5146179,0.997989118,,,,
6,666.704895,442.7826233,0.996135712,663.6087646,456.5207214,0.997723699,,,,
7,667.0343628,442.5324402,0.995959282,663.5537109,456.5467529,0.997434974,,,,
8,667.1623535,442.4975586,0.996520042,663.6206055,456.6492004,0.997899234,,,,
9,667.2235107,442.4005432,0.996817827,663.6018066,456.6506042,0.997613788,,,,
10,667.2249146,442.4005432,0.997019351,663.6018066,456.6718445,0.997788429,,,,
11,667.2235107,442.4975586,0.996681571,663.7579346,456.7662659,0.997957826,,,,
12,667.1870117,442.5858765,0.996027112,663.8106689,456.7662659,0.997397244,,,,
13,667.2249146,442.8234253,0.997120917,663.8548584,457.0064697,0.997072697,,,,
14,667.1870117,442.8556824,0.996302426,663.8548584,457.1698608,0.997145534,,,,
15,667.1834717,442.8556824,0.996497035,663.8548584,457.1698608,0.997187018,,,,
16,667.1834717,442.8832397,0.996795893,663.8625488,457.1322937,0.997349501,,,,
17,667.1834717,442.884491,0.996490955,663.944397,457.0064697,0.997502327,,,,
18,667.0913696,442.8832397,0.996389031,663.8625488,456.762085,0.997193813,,,,
19,667.0386963,442.8648071,0.995654345,664.0262451,456.7234192,0.996717393,,,,
20,667.0278931,442.8648071,0.995843172,664.1329346,456.6885376,0.997532725,,,,
21,667.0278931,442.8648071,0.995767951,664.0262451,456.6669312,0.997817159,,,,
22,667.0278931,442.8648071,0.995786786,663.9803467,456.3043518,0.997548461,,,,
23,667.076355,442.8099976,0.99625957,664.0262451,456.2947388,0.997838497,,,,
24,667.0834961,442.8099976,0.996067703,664.052002,456.2947388,0.997708082,,,,
25,667.104248,442.9118958,0.995457411,664.052002,456.0120239,0.997916579,,,,
26,667.104248,442.9118958,0.995691419,664.0791626,455.9562073,0.997962117,,,,
27,667.2749634,442.9118958,0.995728374,664.3314819,455.8734131,0.997929871,,,,
28,667.2749634,442.9118958,0.995121717,664.3376465,455.8734131,0.997295976,,,,
29,667.2749634,442.9161682,0.99493432,664.4205933,455.787384,0.997192025,,,,
30,667.2749634,442.9161682,0.994801462,664.4327393,455.7280884,0.997228265,,,,
31,667.2732544,442.8786316,0.994892836,664.4992676,455.7002869,0.997260571,,,,
32,667.2732544,442.7580872,0.994385004,664.5100098,455.6733704,0.99708581,,,,
