coords,x,y,likelihood,x,y,likelihood,,,,
0,624.444397,679.8724365,0.999748349,614.0092163,692.331604,0.999610543,184,451,182,712
1,624.444397,679.8913574,0.999747157,614.0354614,692.331604,0.999612808,,,,
2,624.4914551,679.9161377,0.999754906,614.0701294,692.3451538,0.999622703,,,,
3,624.4672852,679.9161377,0.999730229,614.0354614,692.331604,0.999640226,,,,
4,624.4672852,680.0073242,0.99975121,614.0701294,692.3030396,0.999616802,,,,
5,624.4672852,680.0612183,0.99973768,614.0701294,692.2498169,0.999625564,,,,
6,624.5216064,680.0073242,0.999711394,614.1467285,692.258606,0.999608099,,,,
7,624.4672852,680.0773315,0.999709249,614.1558838,692.199646,0.99961555,,,,
8,624.5216064,680.0773315,0.999746859,614.1558838,692.199646,0.999626398,,,,
9,624.5594482,680.0496216,0.999727607,614.1467285,692.258606,0.999622464,,,,
10,624.5594482,680.0286255,0.999724269,614.1755371,692.258606,0.999605894,,,,
11,624.5438843,680.0496216,0.999750257,614.0882568,692.3059692,0.999617815,,,,
12,624.5438843,680.0286255,0.999707401,614.0882568,692.3059692,0.999613643,,,,
13,624.5206909,679.9754639,0.999728501,614.1029053,692.1630249,0.999627948,,,,
14,624.5206909,679.9906006,0.999742627,614.2218628,692.1630249,0.999611199,,,,
15,624.5438843,679.9906006,0.99972266,614.2252197,692.1643677,0.999619722,,,,
16,624.5724487,679.9906006,0.999729991,614.2681274,692.1630249,0.999601483,,,,
17,624.574707,680.0137329,0.999738812,614.2252197,692.1630249,0.999616265,,,,
18,624.574707,680.0137329,0.999727368,614.241272,692.1600952,0.999613047,,,,
19,624.5783691,680.0137329,0.999740243,614.2252197,692.1600952,0.999621034,,,,
20,624.5783691,679.9578247,0.999733567,614.2088623,692.1038208,0.999613166,,,,
21,624.5524902,679.9578247,0.99974072,614.138855,692.1600952,0.999609351,,,,
22,624.5524902,679.9578247,0.99973917,614.2088623,692.0930176,0.999635041,,,,
