coords,x,y,likelihood,x,y,likelihood,,,,
0,769.4000854,777.9177246,0.998942733,766.7006836,763.9290161,0.996649384,313,457,311,722
1,769.4598389,777.9669189,0.999166787,766.701416,764.0342407,0.996816754,,,,
2,769.5092163,777.9669189,0.99887079,766.7519531,764.0978394,0.995994985,,,,
3,769.6469727,777.9177246,0.998940289,766.701416,764.1496582,0.99568671,,,,
4,769.6385498,777.7947998,0.999052644,766.701416,764.2401123,0.995963812,,,,
5,769.6385498,777.7947998,0.999077618,766.6446533,764.4645996,0.995644152,,,,
6,769.6469727,777.7947998,0.99915266,766.6446533,764.2976074,0.995898843,,,,
7,769.6699829,777.8043823,0.998912811,766.6446533,764.5529175,0.995616078,,,,
8,769.6385498,777.8167114,0.999118924,766.6446533,764.4624023,0.996270657,,,,
9,769.5501709,777.9417114,0.998917639,766.6367188,764.5012207,0.995874166,,,,
10,769.5814819,777.8167114,0.99907124,766.6367188,764.4624023,0.995967507,,,,
11,769.5814819,777.8043823,0.998906374,766.6367188,764.4624023,0.995690823,,,,
12,769.5814819,777.685791,0.999321699,766.4577637,764.4624023,0.996869028,,,,
13,769.6239624,777.6809692,0.999242187,766.4577637,764.5012207,0.996596694,,,,
14,769.7771606,777.6685791,0.99916476,766.572937,764.5064087,0.995436013,,,,
15,769.8424683,777.666748,0.999045849,766.6137085,764.539856,0.99567914,,,,
16,769.7771606,777.666748,0.998999357,766.572937,764.539856,0.995856941,,,,
17,769.7771606,777.6581421,0.999048948,766.6137085,764.5778809,0.995831847,,,,
18,769.8851318,777.666748,0.99921459,766.572937,764.5806274,0.995587826,,,,
19,769.9620972,777.7562256,0.999035716,766.5539551,764.7930298,0.996086538,,,,
20,769.9227905,777.7972412,0.999052048,766.3850098,764.7391357,0.995999932,,,,
21,770.0062866,777.7972412,0.998971939,766.3850098,764.7930298,0.996112347,,,,
22,770.0204468,777.7972412,0.998997808,766.3850098,764.7930298,0.996000767,,,,
23,770.0204468,777.6466675,0.999006569,766.3850098,764.7391357,0.995381296,,,,
24,769.9987183,777.6436768,0.999267101,766.3850098,764.7391357,0.996355891,,,,
25,770.0204468,777.4334106,0.999350309,766.519104,764.5983887,0.996235013,,,,
26,769.9987183,777.4334106,0.999072611,766.519104,764.5983887,0.995736837,,,,
27,769.9987183,777.6436768,0.999248028,766.519104,764.5983887,0.996041298,,,,
28,770.0178833,777.6436768,0.998863339,766.519104,764.7248535,0.995474219,,,,
29,770.1744385,777.3970337,0.999263525,766.492981,764.5983887,0.996538937,,,,
30,770.0178833,777.3232422,0.998914957,766.492981,764.7248535,0.99529779,,,,
31,770.1136475,777.3232422,0.999341726,766.442627,764.7248535,0.995560408,,,,
32,770.1136475,777.2168579,0.999030054,766.442627,764.8031616,0.995605469,,,,
33,770.1744385,777.3232422,0.999244809,766.5534668,764.8031616,0.996283352,,,,
34,770.1831665,777.515686,0.999125004,766.5534668,764.8031616,0.996093988,,,,
35,770.1831665,777.515686,0.999230802,766.4207764,764.7488403,0.995949626,,,,
36,770.1831665,777.515686,0.999285221,766.3295288,764.7488403,0.996385574,,,,
37,770.1831665,777.515686,0.99900806,766.3295288,764.7488403,0.995736241,,,,
38,770.1831665,777.5596924,0.999004245,766.3295288,764.8468628,0.995752454,,,,
39,770.2660522,777.4967041,0.99917829,766.3028564,764.8734741,0.995861769,,,,
40,770.2660522,777.7510376,0.999108911,766.4162598,764.8778076,0.996113002,,,,
41,770.2660522,777.7510376,0.999099731,766.6334839,765.1569824,0.995924711,,,,
42,770.2660522,777.7510376,0.999131918,766.6828003,765.1773682,0.996881425,,,,
43,770.2571411,777.6984253,0.998936832,766.6828003,765.1773682,0.996113062,,,,
44,770.151123,777.7799683,0.999108315,766.6828003,765.2161865,0.99619925,,,,
45,770.151123,777.6984253,0.998814106,766.6828003,765.2161865,0.995794058,,,,
46,770.1988525,777.6984253,0.999082565,766.6948242,765.2161865,0.996465206,,,,
47,770.0532227,777.8673096,0.999226332,766.6948242,765.2161865,0.996336579,,,,
48,770.1988525,777.8673096,0.998893976,766.87677,765.1356812,0.995947182,,,,
49,770.2806396,777.8911743,0.999039531,766.8938599,765.0880737,0.996525288,,,,
50,770.3155518,777.8911743,0.999221444,767.1668091,765.0880737,0.996165931,,,,
51,770.6740723,777.854126,0.999337077,767.1950073,764.480835,0.997093201,,,,
52,770.6972656,777.854126,0.999487817,767.3415527,763.7094116,0.997823,,,,
53,770.6972656,777.8468018,0.999435008,767.4284058,763.6405029,0.997687697,,,,
54,770.7419434,777.8421021,0.999522567,767.5103149,763.2493286,0.998211205,,,,
55,770.6972656,777.6934814,0.999479055,767.7896729,763.0775146,0.998312354,,,,
56,770.6704102,777.6934814,0.999505281,767.7910767,762.8753052,0.998089314,,,,
57,770.6704102,777.6934814,0.999639869,767.953125,762.8753052,0.99858135,,,,
58,770.6656494,777.7354736,0.999532223,768.0205688,762.8596191,0.998418033,,,,
59,770.5253906,777.8057861,0.999555826,768.1392212,762.8596191,0.998293817,,,,
60,770.4588623,777.9741211,0.999562383,768.22229,762.8596191,0.998459697,,,,
61,770.4736938,777.9954224,0.999593735,768.22229,762.8710327,0.998498678,,,,
62,770.4736938,777.9954224,0.999553919,768.3264771,762.7600098,0.998566747,,,,
63,770.4736938,778.0666504,0.999570847,768.3264771,762.7507935,0.99856019,,,,
64,770.4588623,778.0666504,0.999644637,768.2374268,762.7507935,0.998638988,,,,
65,770.3892212,778.0666504,0.999602437,768.3264771,762.7808228,0.998641133,,,,
66,770.3852539,778.0666504,0.999543428,768.3289185,762.7507935,0.998471141,,,,
67,770.3852539,778.2014771,0.99956727,768.5637207,762.7808228,0.998736262,,,,
68,770.3852539,778.2348022,0.999587774,768.5637207,762.8148804,0.998655081,,,,
