coords,x,y,likelihood,x,y,likelihood,,,,
0,692.8253174,489.3312683,0.999606371,685.1245117,501.2133179,0.998878539,312,452,314,717
1,692.8971558,489.4282837,0.999637008,685.4928589,501.2133179,0.999057591,,,,
2,692.9823608,489.5954285,0.999640226,685.5678711,501.2208252,0.998689175,,,,
3,693.0115356,489.5954285,0.999594331,685.6655884,501.2208252,0.998777986,,,,
4,693.1575928,489.5954285,0.99962604,685.6655884,501.3699036,0.998546958,,,,
5,693.1083984,489.5991821,0.999601245,685.6655884,501.3699036,0.998775065,,,,
6,693.1083984,489.5991821,0.999618173,685.6010132,501.3699036,0.998738408,,,,
7,693.1083984,489.5991821,0.999631822,685.5541992,501.2985535,0.998849869,,,,
8,693.1083984,489.5991821,0.999568462,685.5541992,501.0498657,0.998850942,,,,
9,692.9658813,489.5534973,0.999583125,685.6010132,501.0498657,0.998818159,,,,
10,692.9658813,489.5534973,0.999596775,685.6499634,501.0498657,0.998845577,,,,
11,693.0579224,489.5534973,0.999581695,685.6499634,501.1731873,0.998516858,,,,
12,693.0579224,489.4828491,0.999616146,685.7310791,501.1731873,0.998795271,,,,
13,693.0579224,489.4828491,0.999633908,685.7310791,501.1731873,0.998814821,,,,
14,693.0579224,489.4828491,0.999529123,685.7177734,501.0146484,0.998785734,,,,
15,693.057251,489.4247437,0.999517322,685.6239014,501.0139771,0.998720527,,,,
16,693.057251,489.278595,0.999538898,685.6239014,500.97995,0.998798966,,,,
17,693.0917358,489.278595,0.999574542,685.5422363,501.0139771,0.99890399,,,,
18,693.1351318,489.2350159,0.999632001,685.4988403,501.0146484,0.998969793,,,,
19,693.1690674,489.1777649,0.999585271,685.4988403,501.0867615,0.998833418,,,,
20,693.1723633,489.0959473,0.999613047,685.4988403,501.0867615,0.998910427,,,,
21,693.1837158,489.0831604,0.999667168,685.5410156,501.0867615,0.998931408,,,,
22,693.1733398,489.0075989,0.999572396,685.6899414,500.8898621,0.998858571,,,,
23,693.1733398,489.0075989,0.999634266,685.7540283,500.8898621,0.998883069,,,,
24,693.1733398,488.9259338,0.999584317,685.7540283,500.7847595,0.998794079,,,,
25,693.0300293,488.9259338,0.999604583,685.7496948,500.7909546,0.998725474,,,,
26,692.805603,488.8463135,0.999559879,685.7496948,500.7943115,0.99876821,,,,
27,692.8049927,488.8463135,0.999596,685.5828857,500.7943115,0.998927593,,,,
28,692.7744141,488.8463135,0.999572158,685.4057007,500.7943115,0.998919845,,,,
29,692.7744141,488.7550659,0.999611735,685.4057007,500.7943115,0.998934269,,,,
30,692.5827026,489.2220459,0.999696732,685.3572388,500.7943115,0.999064922,,,,
31,692.5827026,489.2220459,0.999555111,685.3572388,500.5439758,0.99883312,,,,
32,692.5827026,489.0070496,0.999598861,685.5316162,500.5010986,0.998990655,,,,
33,692.8448486,488.6387939,0.999582708,685.5841064,500.5010986,0.998936772,,,,
34,692.6467896,489.0070496,0.999633908,685.6278687,500.4503784,0.998948455,,,,
35,692.6467896,489.0070496,0.999644041,685.6278687,500.4503784,0.99898839,,,,
36,692.6467896,489.0070496,0.999579787,685.6537476,500.5559692,0.998907089,,,,
37,692.835083,488.7855225,0.999653041,685.6537476,500.6918335,0.999118626,,,,
38,692.7675781,488.7855225,0.999498606,685.3807983,500.664032,0.9986642,,,,
39,692.7811279,488.7855225,0.999619126,685.3807983,500.6918335,0.99889034,,,,
40,692.7811279,488.7855225,0.999638498,685.3807983,500.7038269,0.998949945,,,,
41,692.7675781,488.7606812,0.999669075,685.3807983,500.7068176,0.998936594,,,,
42,692.7620239,489.2087708,0.999667048,685.359436,500.7038269,0.998986244,,,,
43,692.546875,489.2154236,0.99965179,685.3041382,500.7038269,0.998918593,,,,
44,692.418335,489.2428894,0.999652624,685.1774902,500.6261597,0.998933256,,,,
45,692.546875,489.2154236,0.999576688,685.3041382,500.4890137,0.999012411,,,,
46,692.418335,489.2154236,0.999654174,685.1774902,500.3939819,0.998969793,,,,
47,692.418335,489.0504761,0.999579549,685.1774902,500.313385,0.998970628,,,,
48,692.4105835,489.046936,0.999665082,685.6608887,500.313385,0.999028802,,,,
49,692.4105835,489.046936,0.999610662,685.7211304,500.2892456,0.998614848,,,,
50,692.4105835,489.046936,0.999632716,685.7540283,500.2663574,0.998788297,,,,
51,692.4204102,489.0349426,0.99952805,686.1227417,500.2663574,0.998555899,,,,
52,692.5585327,488.8919373,0.999570012,686.5495605,500.1915894,0.998517036,,,,
53,692.5585327,488.8919373,0.99973321,686.5495605,500.1915894,0.998659134,,,,
54,692.5447998,488.8919373,0.999684036,686.5495605,500.1915894,0.998627543,,,,
55,692.4204102,489.0556335,0.999624014,685.6057739,500.405426,0.998597383,,,,
56,692.4384766,489.1246643,0.99969852,685.3009644,500.405426,0.998791039,,,,
57,692.3831177,489.1246643,0.999641955,685.3009644,500.405426,0.998710036,,,,
58,692.3831177,489.1246643,0.999626875,685.3009644,499.9113464,0.998168468,,,,
59,692.4293213,489.0337524,0.999542356,686.1643066,499.2960205,0.99803412,,,,
60,692.4384766,488.9654236,0.99954474,686.5376587,499.0274048,0.998055577,,,,
61,692.4599609,488.8973999,0.999471664,686.5376587,498.7004089,0.998381019,,,,
62,692.4837646,488.7756958,0.999670148,687.0906372,498.5374451,0.998995185,,,,
63,692.7553711,488.8973999,0.999502361,687.2011108,498.4372253,0.998515606,,,,
64,692.7553711,488.8464355,0.999316454,687.2011108,498.4372253,0.998547316,,,,
65,692.7553711,488.8973999,0.999469638,686.5001221,498.4253845,0.998881698,,,,
66,692.7382813,488.9439697,0.999429405,686.3045654,498.4372253,0.998628378,,,,
67,692.7246704,488.9459229,0.999582767,686.1245728,498.5160217,0.998779178,,,,
68,692.7246704,488.9473877,0.9994241,685.9257813,498.6231384,0.998718619,,,,
69,692.7382813,489.0472717,0.999440789,685.9257813,498.7960815,0.998793244,,,,
70,692.7382813,489.0472717,0.999503314,685.9257813,498.8079529,0.998847723,,,,
71,692.8036499,488.9473877,0.999261677,686.802002,498.8211975,0.99867326,,,,
72,692.8036499,488.9382324,0.999400377,686.8189697,498.8079529,0.99861002,,,,
73,692.8815308,488.89328,0.999488711,686.8189697,498.8211975,0.998919427,,,,
74,692.930481,488.89328,0.999381125,686.8189697,498.8211975,0.998406649,,,,
75,692.930481,488.9277649,0.999531269,686.7305298,499.012207,0.998756409,,,,
76,692.7857056,488.8216248,0.999347091,686.4658203,498.9604797,0.998467326,,,,
77,692.7857056,488.8216248,0.999565303,686.0895386,499.012207,0.998889148,,,,
78,692.7857056,488.9277649,0.999563575,686.0895386,499.3302002,0.998782873,,,,
79,692.7857056,488.9277649,0.999610841,686.0770264,499.3302002,0.998875022,,,,
80,692.8153076,488.9796143,0.999509931,686.0770264,499.2434998,0.998800874,,,,
81,692.8522949,489.073761,0.999489546,686.0770264,499.2434998,0.998693705,,,,
82,692.9440308,489.073761,0.999343216,686.1035156,499.2434998,0.998414755,,,,
83,692.9440308,489.073761,0.999541342,685.5516357,499.2299194,0.998890758,,,,
84,692.8522949,489.073761,0.999505877,686.1035156,499.2299194,0.998690963,,,,
85,692.8522949,489.0446167,0.999599218,686.3098145,499.2299194,0.999003351,,,,
86,692.9099121,488.9396362,0.999620557,686.414856,499.2299194,0.998770714,,,,
87,692.9099121,488.9396362,0.99948734,686.5577393,499.2299194,0.998602152,,,,
88,692.9648438,488.8717651,0.999416709,686.739563,499.3901672,0.99866569,,,,
89,693.0188599,488.9396362,0.999554813,686.8018799,499.3901672,0.998913646,,,,
90,693.0424194,488.9455261,0.999575853,686.8984375,499.3901672,0.99893558,,,,
91,693.0424194,488.9455261,0.999396205,687.0168457,499.40979,0.998952329,,,,
92,693.0031128,488.9131165,0.999446332,687.0168457,499.40979,0.999007583,,,,
93,693.0031128,488.9131165,0.999548137,687.1004028,499.4802551,0.999076486,,,,
94,692.9858398,488.8455505,0.999593973,687.1803589,499.6231995,0.999036431,,,,
95,692.8815918,488.8322144,0.999651432,687.1803589,499.8369446,0.999143958,,,,
96,692.7473145,488.7756348,0.999626279,687.2342529,499.9159851,0.999241114,,,,
97,692.7473145,488.6392517,0.999662757,687.477417,499.9224854,0.999091923,,,,
98,692.7473145,488.7756348,0.999646425,687.477417,499.9224854,0.999128461,,,,
99,692.7792358,488.6392517,0.999681532,687.2342529,499.9194336,0.999239445,,,,
100,692.8814697,488.6392517,0.99955225,687.2159424,499.9194336,0.998981833,,,,
101,692.8814697,488.6125793,0.999678969,687.0421753,499.8397827,0.999159157,,,,
102,692.9076538,488.6125793,0.999670386,686.8867188,499.8203735,0.999068797,,,,
103,692.9076538,488.6125793,0.999677658,686.8867188,499.8203735,0.998950243,,,,
104,692.911499,488.7153625,0.9996773,686.8466797,499.5793457,0.999034941,,,,
105,693.1569214,488.703186,0.999606729,686.8466797,499.5105591,0.998955309,,,,
106,693.2563477,488.7373657,0.999591708,686.7669067,499.510376,0.999066949,,,,
107,693.3780518,488.8196716,0.999553859,686.7624512,499.2093201,0.999005973,,,,
108,693.3780518,488.8196716,0.999518037,686.7589722,499.0438843,0.998633742,,,,
109,693.4000854,488.703186,0.999487519,686.5680542,498.7024536,0.998926282,,,,
110,693.4232178,488.602478,0.999514103,686.5680542,498.4759827,0.998732865,,,,
111,693.5205688,488.5739441,0.999607801,686.7254639,498.3353882,0.999000907,,,,
112,693.4232178,488.5739441,0.999555409,686.7254639,498.3353882,0.998971283,,,,
113,693.4232178,488.5739441,0.999429345,686.2399292,498.4759827,0.998405218,,,,
114,693.2960205,488.5739441,0.999628365,686.0869751,498.5086365,0.999053001,,,,
115,693.2960205,488.566925,0.999588847,686.0869751,498.5086365,0.998777747,,,,
116,693.2960205,488.3863831,0.99965024,686.0869751,498.5086365,0.998803973,,,,
117,693.2819214,488.342804,0.999567866,687.0671387,498.0663147,0.998719275,,,,
118,693.3341064,487.9915161,0.999612927,687.18573,498.0663147,0.998426795,,,,
119,693.3354492,487.9915161,0.999685764,687.2401733,498.0502014,0.998800159,,,,
120,693.3341064,487.9842224,0.999669671,687.347168,498.0502014,0.998978019,,,,
121,693.2096558,487.9700623,0.999658704,687.5244141,498.0502014,0.999069214,,,,
122,693.1348267,487.8829041,0.999681354,687.5311279,497.9177856,0.999005318,,,,
123,693.0900879,487.880127,0.999616683,687.5311279,497.8868713,0.998885691,,,,
124,693.0900879,487.8484802,0.999566674,687.5311279,497.9177856,0.998832941,,,,
125,693.0900879,487.8484802,0.99969697,687.7819824,497.8868713,0.998990417,,,,
126,693.1413574,487.880127,0.999698877,687.7819824,497.7981567,0.999134421,,,,
127,693.2925415,487.9768982,0.999248147,687.5011597,497.8868713,0.998558223,,,,
128,693.2925415,487.9768982,0.999623179,687.6119995,497.7981567,0.999070883,,,,
129,693.2925415,487.9768982,0.99965167,687.6119995,497.7981567,0.999170065,,,,
130,693.2608643,487.8873291,0.999567151,687.6119995,497.9746094,0.998935819,,,,
131,693.2334595,487.7707214,0.999651313,687.8826904,498.1870728,0.999131799,,,,
132,693.2334595,487.7707214,0.999747276,687.8826904,498.6806641,0.999273896,,,,
133,693.1022339,487.5877075,0.999713123,687.8826904,498.6806641,0.999240041,,,,
134,692.9204712,487.5552673,0.999618709,687.8553467,498.7654724,0.999095798,,,,
135,692.8074951,487.4271851,0.999694049,687.6610718,498.8114929,0.998699307,,,,
