coords,x,y,likelihood,x,y,likelihood,,,,
0,576.2623901,458.2610168,0.999202013,567.0353394,470.7864075,0.998690605,318,452,318,717
1,576.5083008,458.3356628,0.998894691,567.1029053,470.7864075,0.998574495,,,,
2,576.5505981,458.3720093,0.999232531,567.2010498,470.7990417,0.998785138,,,,
3,576.6903687,458.3720093,0.999212325,567.2010498,470.7864075,0.998589635,,,,
4,576.6903687,458.3356628,0.999299228,567.21875,470.7759399,0.99865818,,,,
5,576.6903687,458.2633972,0.999113679,567.335022,470.7709961,0.998481452,,,,
6,576.6768188,458.2171326,0.998925388,567.335022,470.7759399,0.998624444,,,,
7,576.6547852,458.2171326,0.998836875,567.21875,470.7759399,0.998676658,,,,
8,576.6547852,458.2171326,0.999112368,567.1436157,470.8591309,0.998460889,,,,
9,576.6547852,458.1783447,0.999218941,567.0098877,470.9014587,0.998602986,,,,
10,576.6547852,458.1783447,0.999171257,566.9850464,470.9014587,0.998457611,,,,
11,576.6434937,458.1783447,0.999242783,566.9775391,470.8591309,0.998669505,,,,
12,576.6434937,458.1448364,0.999245048,566.9655151,470.8591309,0.998603404,,,,
13,576.6434937,458.1448364,0.999162674,566.9655151,470.7910767,0.998711944,,,,
14,576.8449707,458.0637207,0.999411404,566.9775391,470.7910767,0.998798847,,,,
15,576.8449707,458.0637207,0.999266982,566.9083252,470.8224487,0.998600602,,,,
16,576.8485107,458.0980225,0.99923712,567.0091553,470.8997498,0.998469353,,,,
17,576.8485107,458.1378479,0.9992311,567.0134888,470.8224487,0.998779535,,,,
18,576.8519897,458.0980225,0.999220848,567.0164185,470.8224487,0.998544931,,,,
19,576.8931274,458.0980225,0.999138355,567.0164185,470.5754089,0.998669446,,,,
20,576.8931274,457.9275818,0.999083877,567.2173462,470.5734558,0.998542309,,,,
21,576.8931274,457.9275818,0.999182582,567.2173462,470.3465271,0.998676062,,,,
22,576.8963623,457.9275818,0.999096274,567.2174072,470.272644,0.998531461,,,,
23,576.8931274,457.9828491,0.999253631,567.2174072,470.272644,0.998779535,,,,
24,576.894043,458.0001831,0.999241829,567.1557617,470.272644,0.998676717,,,,
25,576.894043,458.0001831,0.999178052,567.1546021,470.3421021,0.998754263,,,,
26,576.8912354,458.0001831,0.99914062,567.1546021,470.3421021,0.998687804,,,,
27,576.8912354,457.9828491,0.999258816,567.1160889,470.376709,0.998837709,,,,
28,576.894043,457.9629211,0.999295592,567.069397,470.376709,0.998934925,,,,
29,577.0179443,457.7261353,0.999227047,567.069397,470.376709,0.998708367,,,,
30,577.0179443,457.7261353,0.999414742,567.1038818,470.3325195,0.998750746,,,,
31,577.0179443,457.7261353,0.999106944,567.1038818,470.3325195,0.99870652,,,,
32,576.8692627,457.775116,0.999185145,567.1038818,470.2866821,0.998866558,,,,
33,576.755249,457.8188782,0.999223471,567.2199097,470.2866821,0.998827398,,,,
34,576.6940308,457.8188782,0.999143183,567.1038818,470.237915,0.998881698,,,,
35,576.6940308,457.775116,0.999144435,567.3167725,470.211731,0.998614192,,,,
36,576.7310791,457.775116,0.999101102,567.3433228,470.1207581,0.998795986,,,,
37,576.755249,457.8427124,0.999209166,567.3433228,470.1207581,0.998906612,,,,
38,576.7790527,457.8104858,0.999213099,567.2836304,470.1207581,0.998790324,,,,
39,576.7963257,457.8104858,0.999190092,567.3083496,470.2073364,0.998614192,,,,
40,576.7963257,457.8104858,0.99920392,567.2836304,470.2536011,0.998814225,,,,
41,576.8853149,457.7998962,0.999174714,567.2836304,470.3005981,0.99862504,,,,
42,576.8262329,457.6962891,0.999329805,567.22229,470.3005981,0.998960435,,,,
43,576.7963257,457.636322,0.999361098,567.1397095,470.2073364,0.998761415,,,,
44,576.8262329,457.6188354,0.999192595,567.1397095,470.1348877,0.998819232,,,,
45,576.8262329,457.6188354,0.998784423,567.2458496,469.989563,0.998819411,,,,
46,576.8262329,457.6188354,0.99915266,567.2159424,469.989563,0.998614311,,,,
47,576.911377,457.6188354,0.999199867,567.2159424,469.989563,0.99891448,,,,
48,576.911377,457.6480408,0.999014378,567.2159424,470.1155701,0.998607576,,,,
49,576.8519897,457.7640076,0.999208212,567.2159424,470.1155701,0.998904943,,,,
50,576.911377,457.7640076,0.999305725,567.1774902,470.1741943,0.999025464,,,,
51,576.8519897,457.7640076,0.999201298,567.1774902,470.1747131,0.998900056,,,,
52,576.8519897,457.7432251,0.999289393,567.3084717,470.2255554,0.998931825,,,,
53,576.8025513,457.4281616,0.998960435,567.3084717,470.2255554,0.998429298,,,,
